Term,Frequency,PostingList
saeyset,1,{'22': [5402]}
saezrodriguez,1,{'8': [3201]}
safe,1,{'2': [1256]}
safeti,3,"{'1': [60], '2': [692, 787], '7': [13850, 14642, 15473, 18898, 18919, 19006, 25181, 25430]}"
safetycrit,1,{'7': [16777]}
safetyrespons,1,{'7': [19454]}
sage,1,{'7': [22244]}
saha,1,{'22': [12001]}
sahami,1,{'22': [10985]}
saharon,1,{'22': [12339]}
saharonrosset,1,{'22': [11806]}
sahin,1,{'22': [1536]}
sahlgrenska,1,"{'9': [2265, 2296, 2306]}"
sahp,1,{'21': [2713]}
sahpthp,1,{'21': [2770]}
said,2,"{'25': [2431], '7': [3979, 13417]}"
saidan,1,"{'12': [4945, 11852]}"
sail,1,{'2': [1056]}
sakaori,2,"{'13': [4574], '14': [4574]}"
sake,1,{'7': [6743]}
sakurai,1,{'8': [4479]}
salakhudinov,1,{'7': [21068]}
salakhutdinov,4,"{'1': [7780], '13': [4637], '14': [4637], '18': [2617, 3471]}"
salamon,1,"{'15': [1235, 6729]}"
sale,2,"{'12': [1833, 1883, 1956, 9554, 9925], '15': [6198]}"
salem,1,"{'22': [10412, 10423, 11729]}"
salienc,5,"{'1': [2886], '2': [5486, 5936], '23': [703], '3': [717, 1201, 1286, 2524], '7': [7496, 7512, 7569, 7586, 7609, 7888, 10159, 10344, 11795, 11919, 12982, 23020, 23740, 24073]}"
salient,3,"{'15': [6106], '23': [710], '7': [12984]}"
salim,1,{'17': [5836]}
salvador,1,"{'7': [27, 19569]}"
sam,5,"{'15': [2986], '18': [36, 3135], '23': [1870], '25': [2826], '26': [4674]}"
samatova,1,{'7': [25252]}
same,16,"{'1': [2409, 2413, 2417, 2906, 3345, 4195], '12': [638, 898, 2096, 2678, 4055, 6837, 7149, 7860], '13': [1937, 2928], '14': [1937, 2928], '15': [2378, 3046, 4231, 4649], '16': [1339, 3266, 4586], '17': [599, 717, 1193, 2111, 2114, 2841, 3149, 3643, 3746, 3789, 4275, 4457, 4641, 4668, 4690, 4717, 4815, 5200, 5212, 5278], '18': [395, 1063, 1109, 1170, 1470], '21': [1293, 2201], '22': [2192, 2318, 2524, 3959, 6327, 6395, 7492, 9952], '23': [441, 1825], '24': [1172, 1228, 1312], '25': [284, 753, 1718, 2315, 2435, 2733, 2852, 2944], '26': [1563, 2545, 3832, 3965, 4106, 4121, 4263, 6325], '7': [1667, 1726, 2340, 3775, 3951, 6457, 7390, 7764, 9008, 9735, 9828, 10120, 10152, 10165, 10426, 10545, 10563, 11591, 12180, 12711, 12967, 13040, 13578, 14563, 15963, 15992, 16020, 16037, 16527, 16578, 18930, 18987, 23693, 24638], '9': [349, 1206]}"
sameasbeforebutwith,2,"{'13': [2757], '14': [2757]}"
sameer,1,{'22': [11696]}
samek,4,"{'1': [9274], '2': [9, 247, 266, 980, 1699, 2376, 3031, 3754, 4314, 4389, 4394, 4415, 4432, 4458, 4482, 4560, 4948, 5012, 5068, 5168, 5207, 5399, 5424, 5441, 5722, 5749, 5768, 5971, 6007], '3': [1497, 1680, 2428, 2450, 2477], '7': [19884, 20304, 20540, 20598, 20758, 23871]}"
sameweakdependenceframeworkxueandtaniguchi,2,"{'13': [1199], '14': [1199]}"
sami,1,{'18': [3343]}
samp,1,{'26': [3417]}
sampl,16,"{'1': [3288, 5110, 5136], '12': [1380, 2103, 2164, 2662, 3706, 3712, 5229, 5449, 6525, 6538, 8544, 10617, 12388], '13': [1677, 1684, 2446], '14': [1677, 1684, 2446], '15': [503, 1426, 1444, 1463, 1485, 1512, 1524, 1557, 1576, 1646, 2492, 2821, 2884, 2920, 2966, 3001, 3019, 3396, 3416, 3488, 3571, 3841, 4137, 4169, 4208, 5047, 5051, 5218, 5225, 5239, 5602, 5604], '16': [868, 872, 1479, 1567, 1607, 1678, 2211, 2232, 4283], '18': [1435], '2': [2638, 2734, 2891], '21': [2667], '22': [1008, 2082, 2190, 2221, 2231, 2237, 5354, 5367, 5395, 5689, 6698, 7584, 7603, 9029, 9928, 9931], '23': [73, 175, 672, 1261, 1707, 1782, 1976], '24': [198, 319, 704, 841, 1131, 1156, 1266, 1279, 1451, 1569], '25': [282, 501, 741, 746, 752, 756, 770, 905, 1037, 1047, 1402, 1717, 1950, 1954, 1956, 1996, 2392, 2819, 2844, 3316], '26': [96, 458, 483, 505, 602, 701, 871, 1422, 1446, 1504, 1556, 1560, 2006, 2259, 2263, 2294, 2342, 2356, 2363, 2373, 2397, 2415, 2431, 2481, 2487, 2526, 2531, 2543, 2552, 2557, 2673, 2717, 2797, 2803, 3171, 3300, 3305, 3411, 3508, 3670, 3695, 3703, 3718, 3843, 3951, 3954, 4119, 4125, 4149, 4157, 4174, 4185, 4331, 4337, 4340, 4397, 4453, 4461, 4505, 4529, 4559, 4639, 4679, 4683, 4688, 4730, 4746, 6130, 6358, 6364, 6385, 6414, 6607], '7': [4249, 4253, 5565, 5576, 6093, 6108, 6195, 8469, 8591, 13365, 15875, 15953, 21892], '8': [452, 587]}"
sampleaverag,1,"{'26': [957, 3031, 3051, 3096, 3150, 3184, 3238, 3287, 6012, 6120, 6135]}"
sampleboundsontheestimationerrorof,2,"{'13': [1049], '14': [1049]}"
samplednntopredictthetargetvari,2,"{'13': [2014], '14': [2014]}"
samplesin,1,{'15': [1420]}
sampson,1,"{'22': [4932, 9703]}"
samuel,4,"{'13': [4590], '14': [4590], '17': [5903, 5925], '18': [3183, 3428, 3450]}"
san,2,"{'12': [9083, 9677, 12600], '2': [4623]}"
sanchezmartinez,1,{'8': [4231]}
sanction,1,{'7': [16524]}
sand,1,{'22': [2090]}
sandberg,2,"{'13': [1935, 4578], '14': [1935, 4578]}"
sandilya,1,{'7': [21296]}
sandler,1,"{'22': [6512, 11623]}"
sandsettheotherparamet,1,{'22': [3161]}
sandsofsentimentvaluestarassow,2,"{'13': [3213], '14': [3213]}"
sandthelaplacianmatrix,1,{'22': [4334]}
sang,2,"{'13': [4602], '14': [4602]}"
sanh,1,"{'18': [19, 937, 1590, 3262]}"
saniti,1,{'7': [24071]}
sankarasubbu,1,{'8': [4529]}
santoro,1,{'7': [20811]}
sanvito,1,{'7': [25307]}
sap,1,{'18': [2508]}
sape,1,{'12': [13014]}
sapp,1,{'7': [25337]}
sar,2,"{'23': [87, 1262, 1317, 1332, 1401, 2015], '7': [23391]}"
sarafrazi,1,{'16': [9166]}
saranti,1,"{'12': [4362, 4390, 12082]}"
saravandeg,1,{'22': [11331]}
saria,1,{'7': [25495]}
sarkar,3,"{'1': [6610, 7772], '16': [7730, 7733], '7': [22048]}"
sarker,1,"{'1': [5391, 9294]}"
sarl,1,{'22': [12285]}
sasd,1,{'22': [2160]}
sashank,1,{'21': [5784]}
saskatchewan,1,{'15': [1260]}
sasthecurrentselectedfeaturesetthatisinitiallyempti,1,{'22': [2812]}
sat,3,"{'23': [1723], '26': [5374, 5375], '7': [24267]}"
satchel,1,"{'12': [1168, 9473]}"
satchithananda,1,{'11': [1031]}
satellit,3,"{'16': [5144, 5180, 7802], '21': [3210, 3266, 5232, 5766], '23': [88]}"
sati,2,"{'15': [2027], '26': [1155]}"
satil,1,{'18': [2749]}
satisfact,2,"{'1': [1331, 2377, 4032, 7714], '7': [12788, 12812]}"
satisfactori,2,"{'1': [6322], '2': [3945]}"
satisfi,6,"{'1': [1506], '13': [836], '14': [836], '22': [811, 5222, 6320, 8946], '26': [3042, 5993, 6140], '7': [13130]}"
sato,1,{'7': [23527]}
satoshi,1,{'22': [10793]}
sattigeri,1,{'7': [21734]}
satur,1,{'26': [4840]}
satyanarayan,1,{'7': [24082]}
sauceda,1,{'2': [4606]}
sauer,1,{'8': [3292]}
saulateukolski,1,{'22': [11837]}
saunder,2,"{'13': [3963], '14': [3963]}"
save,7,"{'13': [2883], '14': [2883], '16': [2332, 2360, 2468], '17': [1689, 1831, 4884, 5042], '18': [2142, 2148], '25': [1570], '8': [1433]}"
savecheckpointssec,1,{'17': [1685]}
say,3,"{'12': [4963], '17': [4126], '7': [21963]}"
sayr,2,"{'2': [5048], '7': [21855]}"
sb,5,"{'16': [7644], '22': [7261, 7299, 7318], '23': [571, 812, 890], '8': [3994], '9': [2085]}"
sbandswleadtodifferentfeatureselectionalgorithmssuchasbatchmodelalpacian,1,{'22': [2379]}
sbe,1,{'26': [5875]}
sbetween,1,{'22': [4725]}
sbrn,1,{'7': [23337]}
sbyff,1,{'22': [7266]}
sc,6,"{'1': [8581], '16': [5573, 6095], '2': [5417, 5611], '24': [1144, 1190, 1367, 1371, 1376, 1434], '3': [2600, 2618], '7': [21432, 23856, 24754]}"
sca,1,{'16': [690]}
scada,1,{'16': [7703]}
scala,1,"{'16': [3775, 3781, 3803]}"
scalabilityproblemtokeepingpacewiththerapidgrowthofverylargescaleandstreamingdata,1,{'22': [9878]}
scalabl,4,"{'16': [301, 1746, 6194, 6304], '22': [8057, 9446, 9452, 9581, 9834, 9868, 12115], '26': [6692], '8': [1544]}"
scalablefeatureselect,1,{'22': [12169]}
scalar,3,"{'13': [1459], '14': [1459], '16': [4479, 4832]}"
scale,14,"{'1': [8580], '12': [6486, 6642], '15': [1468, 5957], '16': [282], '17': [68, 1384, 2058, 2065, 2069, 2078, 3311, 4116, 4175, 4181, 4199, 4245, 4282, 4289, 4298, 4309, 4343, 4517, 4692, 4763, 4892, 6028], '18': [191, 307, 2041], '2': [4652, 4974], '21': [790, 1533, 1542, 1551, 2359, 2967, 4727], '22': [1858, 9472, 9543, 11706], '24': [222], '25': [1277, 1379], '26': [3260], '7': [12813, 26032], '9': [783]}"
scaleform,1,"{'21': [2321, 5252]}"
scaleofrandom,1,{'17': [3313]}
scalepreserv,1,{'12': [7196]}
scalesthecombinationofinputsand,2,"{'13': [2259], '14': [2259]}"
scalin,1,{'15': [2696]}
scan,1,"{'22': [1172, 1176, 1842]}"
scand,1,"{'9': [1698, 1843]}"
scao,1,{'18': [51]}
scarc,2,"{'24': [780], '7': [2812, 8705]}"
scatter,2,"{'22': [4521, 4527, 7258], '24': [694, 697, 715, 743]}"
scenario,6,"{'1': [3310, 3583], '2': [3828], '21': [1205], '22': [2058, 2061, 2071, 4109, 9427], '26': [2250, 2383], '7': [878, 1276, 6022, 13841, 13883, 16668, 16958, 17965]}"
scene,2,"{'2': [4069, 4906], '7': [17394, 22580, 24570]}"
sch,4,"{'13': [3893], '14': [3893], '2': [4310, 4951, 5073, 5616, 5818], '7': [20557]}"
schaffer,1,"{'1': [4559, 8697]}"
schahram,1,{'21': [5134]}
scharth,2,"{'13': [4607], '14': [4607]}"
schedul,1,"{'17': [3532, 3544, 3736, 4114, 4538, 4543, 4548, 4710, 4925]}"
scheduletrain,1,{'17': [1694]}
scheidegg,1,{'7': [22903]}
schema,1,{'21': [3277]}
schemat,1,{'7': [17218]}
scheme,8,"{'12': [883, 9512], '15': [102, 137, 741, 771, 875, 1176, 1660, 1758, 1788, 1810, 2223, 2229, 2236, 2288, 2396, 2405, 3066, 3221, 3237, 3789, 3807, 4236, 4262, 4275, 4514, 4769, 4832, 4844, 4884, 4946, 5108, 5133, 5261, 5427, 5476, 5532, 5676, 5749, 5782, 5792, 5828, 5840, 5917, 5936, 6009, 6035, 6082, 6124, 6140], '16': [7580], '2': [3641, 3686], '21': [100, 1259, 2771, 3736], '22': [975], '26': [1511], '7': [7099, 8680, 8785, 23308]}"
schemeisemploy,2,"{'13': [687], '14': [687]}"
schememech,1,{'16': [8999]}
schemepropos,1,{'15': [4565]}
schemeto,1,{'15': [2711]}
schemetoemb,1,{'22': [5731]}
schemewa,1,{'12': [7411]}
schen,1,{'26': [358]}
scherer,1,{'16': [6964]}
schetinin,1,{'7': [20436]}
schiavon,1,{'7': [24362]}
schieber,1,{'2': [4680]}
schiel,3,"{'1': [8483, 9123], '3': [2393, 2409], '7': [23798, 24646, 24963, 24973, 25943, 25969, 25993]}"
schmalfuss,1,{'8': [4423]}
schmid,3,"{'1': [5177, 8998], '16': [6918], '2': [5457]}"
schmidhub,4,"{'13': [4270], '14': [4270], '16': [6084, 6417], '2': [4626]}"
schmidt,2,"{'16': [8960], '2': [5333]}"
schmitz,2,"{'18': [2657], '7': [23509]}"
schni,1,{'15': [6247]}
scholar,1,{'15': [164]}
scholarship,1,{'26': [298]}
scholkopf,1,{'7': [20235]}
school,3,"{'16': [426], '26': [331], '3': [1108, 2276]}"
schooler,1,{'9': [1670]}
schoolofappliedmathemat,2,"{'13': [19], '14': [19]}"
schorlemm,1,"{'1': [1650, 7998]}"
schretter,1,{'22': [11355]}
schrittwies,1,{'2': [5905]}
schrodt,1,{'7': [25398]}
schroeder,1,"{'12': [1944, 10052]}"
schroeter,3,"{'2': [4497], '3': [2260], '7': [23065]}"
schubert,1,"{'7': [19627, 24056, 24085]}"
schuetz,2,"{'7': [23937], '8': [3611, 3746]}"
schulman,1,{'7': [24735]}
schultz,1,{'7': [25494]}
schulz,2,"{'1': [398, 8118], '7': [19962]}"
schuster,1,{'17': [5975]}
schwab,1,{'18': [2924]}
schwartzstein,1,"{'9': [1848, 1872]}"
schwarz,2,"{'12': [6239, 12852], '26': [5773, 6162]}"
schweitzer,1,"{'22': [5699, 11310]}"
schwepp,1,"{'12': [3448, 11430]}"
schweter,1,{'18': [2443]}
sci,6,"{'15': [6220, 6261, 6581, 7126], '16': [5966, 6401, 7612, 7640, 7976, 8110, 8188, 8304, 8361, 8657, 8760, 8781, 9228, 9366, 9460], '25': [3207], '26': [7098], '8': [3332, 3373, 3902], '9': [1700, 1845, 2055, 2095]}"
sciascio,1,{'7': [24367]}
scib,1,{'18': [2470]}
scibert,1,"{'18': [1607, 1919]}"
scien,2,"{'2': [6144], '22': [1579]}"
scienc,17,"{'1': [16, 39, 779, 781, 830, 842, 1026, 7983, 8149, 8172, 8348, 8815, 8930], '11': [764, 795], '12': [1666, 9158, 9441, 9461, 9561, 11338, 12131, 12535, 13933], '13': [4840], '14': [4840], '16': [398, 420, 427, 441, 470, 1032, 1510, 1531, 1899, 2323, 2764, 3086, 3412, 3852, 4357, 4852, 5304, 5836, 5950, 6577, 7099, 7428, 7880, 7954, 8017, 8337, 8386, 8637, 9255, 9678], '17': [5447], '2': [51, 261, 271, 474, 1424, 1513, 4348, 4407, 4570, 4834, 4924, 5146, 5388, 5472, 5551, 5654, 6055], '22': [237], '23': [9, 243, 1865, 1949], '24': [2, 42, 46, 54, 57, 69, 436, 918, 1342, 1692, 2057, 2314, 2392, 2885], '25': [243, 3557], '26': [284, 319, 349, 6933, 7158, 7172, 7187, 7227, 7232, 7401, 7432, 7458, 7540], '3': [122, 131, 205, 2082], '7': [88, 813, 2627, 4994, 13075, 13355, 14004, 14100, 14131, 14169, 14179, 14186, 14308, 14319, 14344, 15389, 19784, 19797, 19942, 19978, 20303, 22122, 22243, 22517, 22547, 22660, 22700, 22967, 23506, 24915, 25187, 25232, 25256, 25675], '8': [371], '9': [1545, 1567]}"
sciencedirect,1,{'24': [27]}
scienceimplement,1,{'7': [19443]}
scienceofi,1,{'2': [4667]}
scienti,6,"{'16': [514, 5375, 7948], '18': [1616, 2475], '2': [513, 812, 1407, 1458, 1471, 1529, 4964], '26': [7548], '3': [325, 327, 1995], '7': [2664, 15376, 20723, 22330, 25259]}"
scientif,3,"{'22': [9461], '8': [1511], '9': [211]}"
scientist,4,"{'1': [6276], '3': [375], '7': [2697, 2868, 25541], '8': [938]}"
scikitfeatur,1,"{'22': [1570, 9082, 9120, 10346]}"
scikitlearn,1,"{'22': [1577, 9126, 11492]}"
sclaro,1,{'2': [6109]}
sclerosi,1,{'2': [4716]}
sco,1,{'2': [5108]}
scope,4,"{'16': [993], '21': [2288], '7': [1193, 1867, 3700, 6312, 8547, 14696, 15431, 15494, 15545], '8': [3715]}"
scopusr,1,{'7': [849]}
score,13,"{'13': [2328], '14': [2328], '17': [396, 564, 665, 685, 766, 1011, 1039, 1054, 1068, 1146, 3059, 3259, 3262, 3856, 3954, 5094, 5117, 5292], '2': [3436, 3450], '21': [2914, 3243], '22': [1911, 1913, 1959, 1972, 1982, 1999, 2005, 2039, 2052, 2103, 2173, 2175, 2242, 2263, 2265, 2269, 2303, 2380, 2383, 2387, 2425, 2449, 2819, 2835, 2917, 2927, 2946, 2953, 3039, 3470, 3967, 3970, 4400, 4408, 4581, 4975, 4977, 5018, 5079, 9220, 9631, 10741], '24': [666, 1272, 1299, 1321, 1326, 1348, 1429, 1808, 1932, 2250, 2289, 2643], '25': [885, 1177, 1502, 2917], '26': [3888, 3904, 3920, 4071, 4082, 4113, 4479, 5211], '3': [1438, 1444], '7': [4666, 4704, 4709, 4718, 7435, 7787, 9837, 9849, 10007, 10553, 10558, 18003, 21147], '8': [1843, 1849, 1857, 3816], '9': [658]}"
scoreforeachnew,1,{'22': [3389]}
scoreof,1,{'22': [2001]}
scoresoffeaturescanbeobtainedalso,1,{'22': [2567]}
scornet,2,"{'13': [4611], '14': [4611]}"
scornetet,2,"{'13': [2495], '14': [2495]}"
scott,3,"{'22': [11700], '3': [2495], '9': [1869]}"
scrap,1,{'12': [10760]}
scratch,1,{'25': [205]}
screen,3,"{'13': [1031], '14': [1031], '8': [1677, 2421, 3312, 3840, 4304, 4330, 4369]}"
screener,1,{'1': [2342]}
screeningconsistencyisdefinedbi,2,"{'13': [1043], '14': [1043]}"
scribe,2,"{'16': [1021, 3876], '25': [1295]}"
script,3,"{'1': [2508, 2509], '17': [931, 1200, 1236, 1344, 1349], '8': [1258]}"
scrutabl,2,"{'1': [1529], '7': [20518]}"
scrutin,1,{'7': [14394]}
scrutini,1,"{'7': [938, 6734]}"
sculli,1,{'16': [9296]}
sd,6,"{'13': [3828], '14': [3828], '15': [1530, 2798], '23': [1565], '26': [6126], '9': [1930]}"
sda,1,{'24': [830]}
sdecomposit,1,{'12': [1543]}
sdenot,1,{'22': [5011]}
sdm,2,"{'22': [10864, 11051, 11089, 11306, 11711, 11771, 11778, 11790, 11923, 11945], '24': [2473]}"
sdmsiam,1,{'22': [11976]}
se,11,"{'12': [534, 643, 802, 909, 912, 987, 1175, 6191, 6208, 6232], '15': [3635, 4629], '16': [962, 1586, 1772, 3254, 5114, 6345], '2': [4139], '21': [2802, 4064, 5088, 5346], '22': [2810, 3025, 3585, 4549, 5686, 7769, 8112, 10129], '23': [327, 1814], '25': [1012], '26': [662], '8': [2218, 3967], '9': [1855, 2271]}"
seah,1,{'8': [3684]}
seam,1,{'7': [7023]}
seamless,2,"{'18': [551], '7': [3174, 6517]}"
seamlessli,2,"{'18': [2152], '7': [7687, 8111]}"
search,17,"{'1': [2526, 5837, 7550, 9261, 9550], '12': [1998], '13': [1613], '14': [1613], '15': [2928, 3536, 5064, 5065, 5376, 5397], '16': [3936, 3984, 4010, 4014, 4031, 4040, 4056, 4063, 4327, 4333, 4394, 4773, 5363, 5881, 7101], '17': [4876], '18': [1437, 2055], '2': [2982, 3386, 5902], '21': [4238, 4494, 4741, 5429], '22': [799, 814, 870, 874, 878, 880, 886, 899, 2804], '23': [594, 640, 1730, 1734, 1887, 1965], '24': [371, 441, 869, 1829], '25': [3364, 3486, 3566], '26': [183, 828], '3': [253], '7': [549, 854, 2636, 2762, 2924, 3366, 11694, 14132, 19254, 22738, 25733, 25741]}"
searchbas,1,{'7': [20775]}
searcher,1,{'18': [147]}
searchingfortheglobalbestsetoffeaturesisnphard,1,{'22': [2794]}
season,4,"{'12': [140, 517, 791, 804, 810, 818, 825, 862, 869, 879, 2935, 2966, 2970, 2976, 3008, 3024, 3063, 3067, 3079, 3154, 3193, 3207, 3241, 3252, 3260, 3265, 3312, 3324, 3363, 3606, 4937, 5269, 5274, 5415, 9047, 9210, 9355, 9363, 9501, 10535, 10749, 10757, 10768, 10779, 10793, 10806, 10840, 10853, 10864, 10868, 10886, 10909, 10920, 10958, 10969, 10972, 10981, 11004, 11035, 11038, 11051, 11063, 11067, 11070, 11116, 11131, 11143, 11179, 11200, 11214, 11406, 12350], '15': [1840, 1933, 2272, 2340, 2406, 2411, 2469, 2475, 2502, 2514, 2517, 2524, 2549, 2563, 2573, 2579, 2593, 2598, 2612, 2624, 2629, 2657, 2666, 3380, 3424, 3459, 3548, 3558, 3861, 3991, 3997, 4152, 4190, 4196, 4327, 4342, 4781, 4990, 5776, 7165], '16': [1012, 1052, 1076, 1109, 1141, 1300, 1319, 1522], '21': [326, 346, 2078]}"
seasonalcompon,1,{'12': [3611]}
seasonalpattern,1,{'12': [3162]}
seasonalperiod,1,{'21': [3849]}
seasonalseri,2,"{'12': [9072], '15': [2608]}"
seasonaltrend,2,"{'12': [10818], '21': [164, 532, 2155, 3640, 3660, 3684, 3698, 3756, 4638, 5469, 5492]}"
sebaa,1,"{'16': [13, 9593]}"
sebag,1,{'7': [20204]}
sebastian,2,"{'17': [5667], '18': [2690, 2704, 2886, 3306]}"
sebe,1,{'1': [8490]}
sec,7,"{'16': [726], '17': [322], '21': [1215], '22': [1668], '25': [1371, 2521, 2979], '26': [5102], '8': [2299]}"
second,15,"{'1': [862, 3945, 5915], '12': [7206], '13': [2954], '14': [2954], '15': [1986, 3685, 5052], '16': [5774, 5896], '17': [2791, 5624, 5913], '2': [389], '21': [2084], '22': [981, 2690, 3060, 4347, 4491, 4844, 5398, 6016, 6607, 6887, 7300, 7659, 8233], '23': [810], '24': [1432], '25': [90, 859, 1280, 1890, 1931, 2208], '26': [1397, 2104, 2266], '7': [255, 1131, 2171, 2571, 3279, 6343, 7135, 9045, 10502, 11744, 25736]}"
secondari,4,"{'1': [9347], '11': [641, 1069], '16': [8237], '8': [4263]}"
secondbest,1,{'17': [5134]}
secondli,1,{'24': [2219]}
secondnodeinthelefttakestheshortplayersgroupsandsplitthembyweightsandthesecond,2,"{'13': [2338], '14': [2338]}"
secret,1,"{'7': [13434, 13450]}"
section,15,"{'1': [662, 677, 694, 707, 715, 728, 751, 2137, 2946, 7506, 7528], '12': [367, 445, 5757, 6279, 7696, 7981, 8566, 8626, 9004, 9574, 10748, 11219, 11507, 12189, 12408, 12698, 12863, 13146, 13366, 13677], '13': [511, 518], '14': [511, 518], '15': [857, 866, 878, 880, 886, 892, 955, 1109, 1593, 2145, 2399, 2681, 2717, 2750, 2971, 3032, 3242, 3778, 4122, 4765, 4849, 4888, 5102, 6102], '16': [730, 767, 792, 797, 806, 819, 830, 843, 1778, 2071, 3007, 4445, 4760], '17': [304, 310, 326, 1250, 1296, 1327, 1488, 1543, 1603, 1662, 1678, 1693, 1707, 1927, 2862, 3325, 3584, 3754, 3803, 4017, 4422, 4685, 4780, 5187, 5251], '2': [519, 525, 543, 575, 578, 2118, 2456, 2527, 2558, 3405, 3867], '21': [998, 1081, 1315, 1408, 1586], '22': [6833], '23': [1434], '24': [630, 640, 641, 650, 1699], '26': [616, 638, 643, 1225, 1313, 2578, 2603, 2620, 3322, 3524, 4634, 4707, 5064], '3': [1364, 1835], '7': [1326, 1355, 1392, 1403, 1410, 1471, 1579, 1753, 1827, 2376, 2753, 3713, 4761, 4784, 4800, 4941, 5624, 6473, 6964, 7234, 7276, 8189, 8300, 8324, 8932, 9204, 9549, 11545, 12058, 12080, 12234, 12237, 14836, 14881, 14934, 15492, 15563, 15592, 15682, 17063]}"
sectionhead,1,{'12': [357]}
sectioniva,1,{'15': [4950]}
sectionprovid,1,{'16': [743]}
sector,2,"{'16': [5475], '7': [120, 336, 393, 923, 1430, 2529, 2536, 2559, 3677, 14981]}"
secur,2,"{'2': [343], '7': [625, 1314, 2548, 13410, 15307, 15342, 17412, 18027, 18660, 18897, 18920, 19005, 19433, 22217, 25077, 25517, 25781, 25804]}"
secut,1,{'16': [1865]}
sedol,1,{'2': [394]}
see,14,"{'1': [794, 1371, 1417, 1786, 1905, 1966, 2456, 2495, 2714, 3207, 3534, 3960, 4503, 4725, 4986, 5171, 5241, 5425, 6011, 6367, 6944, 7356, 7493, 7830, 8081, 8360, 8907, 9406, 9642], '12': [253, 1570, 2037, 2058, 2407, 2801, 4551, 4674, 4733, 4973, 5902, 5916, 6030, 6115, 6278, 6408, 7299, 7491, 7506, 7694, 8192, 8331, 8388, 8565, 8625, 8654, 8751], '13': [316, 467, 609, 710, 808, 926, 1093, 1286, 1361, 1505, 1626, 1650, 1788, 1879, 1970, 2049, 2109, 2182, 2284, 2396, 2465, 2598, 2706, 2796, 2983, 3114, 3272, 3456, 3531, 3668, 3795, 4012, 4219, 4438, 4650, 4869, 4986], '14': [316, 467, 609, 710, 808, 926, 1093, 1286, 1361, 1505, 1626, 1650, 1788, 1879, 1970, 2049, 2109, 2182, 2284, 2396, 2465, 2598, 2706, 2796, 2983, 3114, 3272, 3456, 3531, 3668, 3795, 4012, 4219, 4438, 4650, 4869, 4986], '15': [953, 1108, 1372, 2144, 4335, 4480, 4560, 5101, 5637], '17': [111, 1249, 1409, 1487, 1542, 1661, 1673, 1692, 1706, 1782, 1814, 1935, 3137, 3271, 3884, 3938, 4015, 4633, 5244, 5288, 5299], '22': [9951], '23': [1322, 1573], '24': [2332], '25': [2321], '26': [671, 4831], '3': [0, 39, 53, 62, 1593], '7': [10061, 10078, 10352, 10850, 10900, 12960, 15027, 16565], '9': [433, 947, 1490, 2245, 2324]}"
seealso,1,{'12': [4844]}
seealsotherecentdiscussionin,2,"{'13': [3034], '14': [3034]}"
seechen,2,"{'13': [1710], '14': [1710]}"
seed,1,{'17': [605]}
seeger,1,"{'2': [4308, 5102]}"
seegoodwin,1,{'12': [6853]}
seegrang,1,{'12': [5217]}
seek,8,"{'1': [2772, 4881, 5539, 6224], '11': [614], '21': [1480], '22': [689, 3880], '24': [905, 936, 963], '3': [691], '7': [13664], '9': [108]}"
seem,4,"{'12': [2051, 3896, 4388, 4421, 5840, 6761, 7810], '17': [4341, 5146], '21': [3715], '7': [3543, 3563, 8677, 12826, 13187, 13271, 19129]}"
seemli,1,{'21': [3891]}
seen,11,"{'1': [3788, 5401, 5803], '11': [333, 340], '12': [5644, 6595], '13': [956], '14': [956], '16': [2929, 5541], '17': [1590, 5073, 5386], '21': [3695], '22': [8177], '25': [1597, 2629], '7': [3022, 4141, 8517, 14002]}"
seepen,1,{'12': [2068]}
seesamuel,2,"{'13': [3760], '14': [3760]}"
seesect,2,"{'12': [8349], '17': [434, 580, 922, 2407]}"
seethenextsect,1,{'17': [2405]}
seezhang,1,{'12': [4687]}
seg,1,{'21': [2209]}
segment,6,"{'15': [2241, 2243, 2258, 2264, 2268, 3972, 4300, 4311], '17': [5822], '2': [4912], '22': [5592, 5601, 5603, 5618, 11660], '7': [4552, 9977, 10615, 11720], '8': [2619]}"
segmenta,1,{'16': [9342]}
segmentationbas,1,{'21': [2148]}
segn,1,{'21': [1462]}
segonn,1,{'18': [2909]}
seid,2,"{'16': [6711], '18': [2791]}"
seifert,1,{'1': [7975]}
seis,1,{'7': [24320]}
selbst,1,{'7': [25549]}
seldi,1,{'7': [22390]}
seldomusedinpractic,1,{'22': [907]}
selec,4,"{'22': [1390, 9440], '23': [274, 648, 959], '25': [529, 537, 942, 3514], '26': [176]}"
